Id,MSSubClass,MSZoning,LotArea,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleCondition,SaleStatus
11,20,RL,11200,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,None,0,1040,0,0,1040,1,0,1,0,3,1,Detchd,1965,Unf,1,384,Normal,SoldSlow
12,60,RL,11924,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,Stone,286,1182,1142,0,2324,1,0,3,0,4,1,BuiltIn,2005,Fin,3,736,Partial,SoldFast
13,20,RL,12968,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,None,0,912,0,0,912,1,0,1,0,2,1,Detchd,1962,Unf,1,352,Normal,SoldSlow
14,20,RL,10652,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,Stone,306,1494,0,0,1494,0,0,2,0,3,1,Attchd,2006,RFn,3,840,Partial,SoldFast
15,20,RL,10920,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,BrkFace,212,1253,0,0,1253,1,0,1,1,2,1,Attchd,1960,RFn,1,352,Normal,SoldFast
16,45,RM,6120,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,None,0,854,0,0,854,0,0,1,0,2,1,Detchd,1991,Unf,2,576,Normal,SoldFast
17,20,RL,11241,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,BrkFace,180,1004,0,0,1004,1,0,1,0,2,1,Attchd,1970,Fin,2,480,Normal,SoldFast
18,90,RL,10791,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,None,0,1296,0,0,1296,0,0,2,0,2,2,CarPort,1967,Unf,2,516,Normal,SoldSlow
19,20,RL,13695,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,None,0,1114,0,0,1114,1,0,1,1,3,1,Detchd,2004,Unf,2,576,Normal,SoldSlow
20,20,RL,7560,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,None,0,1339,0,0,1339,0,0,1,0,3,1,Attchd,1958,Unf,1,294,Abnorml,SoldSlow
21,60,RL,14215,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,BrkFace,380,1158,1218,0,2376,0,0,3,1,4,1,BuiltIn,2005,RFn,3,853,Partial,SoldFast
22,45,RM,7449,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,None,0,1108,0,0,1108,0,0,1,0,3,1,Attchd,1930,Unf,1,280,Normal,SoldFast
23,20,RL,9742,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,BrkFace,281,1795,0,0,1795,0,0,2,0,3,1,Attchd,2002,RFn,2,534,Normal,SoldFast
24,120,RM,4224,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,None,0,1060,0,0,1060,1,0,1,0,3,1,Attchd,1976,Unf,2,572,Normal,SoldSlow
25,20,RL,8246,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,None,0,1060,0,0,1060,1,0,1,0,3,1,Attchd,1968,Unf,1,270,Normal,SoldSlow
26,20,RL,14230,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,Stone,640,1600,0,0,1600,0,0,2,0,3,1,Attchd,2007,RFn,3,890,Normal,SoldFast
27,20,RL,7200,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,None,0,900,0,0,900,0,1,1,0,3,1,Detchd,2005,Unf,2,576,Normal,SoldSlow
28,20,RL,11478,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,Stone,200,1704,0,0,1704,1,0,2,0,3,1,Attchd,2008,RFn,3,772,Normal,SoldFast
29,20,RL,16321,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,None,0,1600,0,0,1600,1,0,1,0,2,1,Attchd,1957,RFn,1,319,Normal,SoldSlow
30,30,RM,6324,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,None,0,520,0,0,520,0,0,1,0,1,1,Detchd,1920,Unf,1,240,Normal,SoldSlow
31,70,C (all),8500,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,None,0,649,668,0,1317,0,0,1,0,3,1,Detchd,1920,Unf,1,250,Normal,SoldSlow
32,20,RL,8544,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,None,0,1228,0,0,1228,0,0,1,1,3,1,Attchd,1966,Unf,1,271,Normal,SoldSlow
33,20,RL,11049,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,None,0,1234,0,0,1234,0,0,2,0,3,1,Attchd,2007,RFn,2,484,Normal,SoldFast
34,20,RL,10552,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,None,0,1700,0,0,1700,0,1,1,1,4,1,Attchd,1959,RFn,2,447,Normal,SoldSlow
35,120,RL,7313,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,BrkFace,246,1561,0,0,1561,1,0,2,0,2,1,Attchd,2005,Fin,2,556,Normal,SoldFast
36,60,RL,13418,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,Stone,132,1132,1320,0,2452,0,0,3,1,4,1,BuiltIn,2004,Fin,3,691,Normal,SoldFast
37,20,RL,10859,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,None,0,1097,0,0,1097,0,0,1,1,3,1,Attchd,1995,Unf,2,672,Normal,SoldSlow
38,20,RL,8532,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,BrkFace,650,1297,0,0,1297,0,1,1,0,3,1,Attchd,1954,Fin,2,498,Normal,SoldSlow
39,20,RL,7922,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,None,0,1057,0,0,1057,1,0,1,0,3,1,Detchd,1953,Unf,1,246,Abnorml,SoldSlow
40,90,RL,6040,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,None,0,1152,0,0,1152,0,0,2,0,2,2,NA,NA,NA,0,0,AdjLand,SoldSlow
41,20,RL,8658,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,BrkFace,101,1324,0,0,1324,0,0,2,0,3,1,Attchd,1965,RFn,2,440,Abnorml,SoldFast
42,20,RL,16905,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,None,0,1328,0,0,1328,0,1,1,1,2,1,Attchd,1959,RFn,1,308,Normal,SoldSlow
43,85,RL,9180,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,None,0,884,0,0,884,1,0,1,0,2,1,Attchd,1983,RFn,2,504,Normal,SoldSlow
44,20,RL,9200,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,None,0,938,0,0,938,1,0,1,0,3,1,Detchd,1977,Unf,1,308,Normal,SoldSlow
45,20,RL,7945,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,None,0,1150,0,0,1150,1,0,1,0,3,1,Attchd,1959,RFn,1,300,Normal,SoldSlow
46,120,RL,7658,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,BrkFace,412,1752,0,0,1752,1,0,2,0,2,1,Attchd,2005,RFn,2,576,Normal,SoldFast
47,50,RL,12822,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,None,0,1518,631,0,2149,1,0,1,1,1,1,Attchd,2003,RFn,2,670,Abnorml,SoldFast
48,20,FV,11096,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,None,0,1656,0,0,1656,0,0,2,0,3,1,Attchd,2006,RFn,3,826,Normal,SoldFast
49,190,RM,4456,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,None,0,736,716,0,1452,0,0,2,0,2,3,NA,NA,NA,0,0,Partial,SoldSlow
50,20,RL,7742,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,None,0,955,0,0,955,1,0,1,0,3,1,Attchd,1966,Unf,1,386,Normal,SoldSlow
51,60,RL,13869,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,None,0,794,676,0,1470,0,1,2,0,3,1,Attchd,1997,Fin,2,388,Normal,SoldFast
52,50,RM,6240,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,None,0,816,0,360,1176,0,0,1,0,3,1,Detchd,1985,Unf,2,528,Normal,SoldFast
53,90,RM,8472,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,None,0,816,0,0,816,1,0,1,0,2,1,CarPort,1963,Unf,2,516,Normal,SoldSlow
54,20,RL,50271,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,None,0,1842,0,0,1842,2,0,0,1,0,1,Attchd,1981,Fin,3,894,Normal,NotSold
55,80,RL,7134,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,None,0,1360,0,0,1360,0,0,1,0,3,1,Detchd,1962,Unf,2,572,Normal,SoldSlow
56,20,RL,10175,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,BrkFace,272,1425,0,0,1425,0,0,2,0,3,1,Attchd,1964,RFn,2,576,Normal,SoldFast
57,160,FV,2645,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,BrkFace,456,983,756,0,1739,1,0,2,1,3,1,Attchd,1999,Fin,2,480,Abnorml,SoldFast
58,60,RL,11645,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,None,0,860,860,0,1720,0,0,2,1,3,1,Attchd,2004,RFn,2,565,Normal,SoldFast
59,60,RL,13682,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,BrkFace,1031,1426,1519,0,2945,0,0,3,1,3,1,BuiltIn,2006,Fin,3,641,Partial,SoldSlow
60,20,RL,7200,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,None,0,780,0,0,780,0,0,1,0,2,1,Detchd,1973,Unf,1,352,Normal,SoldSlow
61,20,RL,13072,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,None,0,1158,0,0,1158,1,0,1,1,3,1,Detchd,2006,Unf,2,576,Partial,SoldFast
62,75,RM,7200,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,None,0,581,530,0,1111,0,0,1,0,3,1,Detchd,1935,Unf,1,288,Normal,SoldSlow
63,120,RL,6442,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,Stone,178,1370,0,0,1370,0,0,2,0,2,1,Attchd,2006,RFn,2,484,Normal,SoldFast
64,70,RM,10300,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,None,0,902,808,0,1710,0,0,2,0,3,1,Detchd,1990,Unf,2,480,Normal,SoldFast
65,60,RL,9375,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,BrkFace,573,1057,977,0,2034,1,0,2,1,3,1,Attchd,1998,RFn,2,645,Normal,SoldFast
66,60,RL,9591,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,BrkFace,344,1143,1330,0,2473,0,0,2,1,4,1,BuiltIn,2004,RFn,3,852,Normal,SoldFast
67,20,RL,19900,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,BrkFace,287,2207,0,0,2207,1,0,2,0,3,1,Attchd,1970,RFn,2,576,Normal,SoldFast
68,20,RL,10665,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,BrkFace,167,1479,0,0,1479,1,0,2,0,3,1,Attchd,2003,RFn,2,558,Normal,SoldFast
69,30,RM,4608,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,None,0,747,0,0,747,0,0,1,0,2,1,Attchd,1945,Unf,1,220,Normal,SoldSlow
70,50,RL,15593,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953,Gable,None,0,1304,983,0,2287,0,0,2,0,3,1,Attchd,1953,Fin,2,667,Normal,SoldSlow
71,20,RL,13651,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Gable,BrkFace,1115,2223,0,0,2223,1,0,2,0,3,1,Attchd,1973,Fin,2,516,Normal,SoldFast
72,20,RL,7599,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,2006,Gable,None,0,845,0,0,845,1,0,1,0,2,1,Detchd,1987,Unf,2,360,Normal,SoldSlow
73,60,RL,10141,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,BrkFace,40,885,833,0,1718,0,0,2,1,3,1,Attchd,1998,Fin,2,427,Normal,SoldFast
74,20,RL,10200,NAmes,Norm,Norm,1Fam,1Story,5,7,1954,2003,Gable,BrkFace,104,1086,0,0,1086,1,0,1,0,3,1,Attchd,1989,Unf,2,490,Normal,SoldSlow
75,50,RM,5790,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,Gambrel,None,0,840,765,0,1605,0,0,2,0,3,2,Detchd,1915,Unf,1,379,Normal,SoldSlow
76,180,RM,1596,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,Gable,None,0,526,462,0,988,1,0,1,0,2,1,BuiltIn,1973,Unf,1,297,Normal,SoldSlow
77,20,RL,8475,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,None,0,952,0,0,952,0,0,1,0,2,1,Detchd,1956,Unf,1,283,Normal,SoldSlow
78,50,RM,8635,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,Gable,None,0,1072,213,0,1285,1,0,1,0,2,1,Detchd,1948,Unf,1,240,Normal,SoldSlow
79,90,RL,10778,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,None,0,1768,0,0,1768,0,0,2,0,4,2,NA,NA,NA,0,0,Normal,SoldSlow
80,50,RM,10440,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,None,0,682,548,0,1230,0,0,1,1,2,1,Detchd,1966,Unf,2,440,Normal,SoldSlow
81,60,RL,13000,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Gable,BrkFace,576,1182,960,0,2142,0,0,2,1,4,1,Attchd,1968,Fin,1,509,Normal,SoldSlow
82,120,RM,4500,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,1998,Hip,BrkFace,443,1337,0,0,1337,1,0,2,0,2,1,Attchd,1998,Fin,2,405,Normal,SoldFast
83,20,RL,10206,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,Stone,468,1563,0,0,1563,0,0,2,0,3,1,Attchd,2007,RFn,3,758,Normal,SoldFast
84,20,RL,8892,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,Gable,BrkCmn,66,1065,0,0,1065,0,0,1,1,3,1,Detchd,1974,Unf,2,461,Normal,SoldSlow
85,80,RL,8530,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,BrkFace,22,804,670,0,1474,0,0,2,1,3,1,BuiltIn,1995,Fin,2,400,Normal,SoldFast
86,60,RL,16059,NoRidge,Norm,Norm,1Fam,2Story,8,5,1991,1992,Hip,BrkFace,284,1301,1116,0,2417,0,0,2,1,4,1,Attchd,1991,Unf,2,462,Normal,SoldFast
87,60,RL,11911,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,None,0,684,876,0,1560,0,0,2,1,3,1,BuiltIn,2005,Fin,2,400,Normal,SoldFast
88,160,FV,3951,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,Stone,76,612,612,0,1224,0,0,2,1,2,1,Detchd,2009,RFn,2,528,Partial,SoldSlow
89,50,C (all),8470,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1915,1982,Hip,None,0,1013,0,513,1526,0,0,1,0,2,1,NA,NA,NA,0,0,Abnorml,SoldSlow
90,20,RL,8070,CollgCr,Norm,Norm,1Fam,1Story,4,5,1994,1995,Gable,None,0,990,0,0,990,1,0,1,0,3,1,NA,NA,NA,0,0,Normal,SoldSlow
91,20,RL,7200,NAmes,Norm,Norm,1Fam,1Story,4,5,1950,1950,Gable,None,0,1040,0,0,1040,0,0,1,0,2,1,Detchd,1950,Unf,2,420,Normal,SoldSlow
92,20,RL,8500,NAmes,Norm,Norm,1Fam,1Story,5,3,1961,1961,Hip,BrkCmn,203,1235,0,0,1235,0,0,1,0,2,1,Attchd,1961,Unf,2,480,Abnorml,SoldSlow
93,30,RL,13360,Crawfor,Norm,Norm,1Fam,1Story,5,7,1921,2006,Gable,None,0,964,0,0,964,1,0,1,0,2,1,Detchd,1921,Unf,2,432,Normal,SoldSlow
94,190,C (all),7200,OldTown,Norm,Norm,2fmCon,2.5Unf,6,6,1910,1998,Hip,None,0,1260,1031,0,2291,0,1,2,0,4,2,Detchd,1900,Unf,2,506,Normal,SoldSlow
95,60,RL,9337,CollgCr,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,None,0,905,881,0,1786,1,0,2,1,3,1,Attchd,1997,RFn,2,684,Normal,SoldFast
96,60,RL,9765,Gilbert,Norm,Norm,1Fam,2Story,6,8,1993,1993,Gable,BrkFace,68,680,790,0,1470,0,0,2,1,3,1,BuiltIn,1993,Fin,2,420,Normal,SoldFast
97,20,RL,10264,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,BrkFace,183,1588,0,0,1588,0,0,2,0,3,1,Attchd,1999,RFn,2,472,Normal,SoldFast
98,20,RL,10921,Edwards,Norm,Norm,1Fam,1Story,4,5,1965,1965,Hip,BrkFace,48,960,0,0,960,1,0,1,0,3,1,Attchd,1965,Fin,1,432,Normal,SoldSlow
99,30,RL,10625,Edwards,Norm,Norm,1Fam,1Story,5,5,1920,1950,Gable,None,0,835,0,0,835,0,0,1,0,2,1,Basment,1920,Unf,1,366,Abnorml,SoldSlow
100,20,RL,9320,NAmes,Norm,Norm,1Fam,1Story,4,5,1959,1959,Gable,None,0,1225,0,0,1225,1,0,1,1,3,1,NA,NA,NA,0,0,Normal,SoldSlow
101,20,RL,10603,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,BrkFace,28,1610,0,0,1610,1,0,2,0,3,1,Attchd,1977,RFn,2,480,Normal,SoldFast
102,60,RL,9206,SawyerW,Norm,Norm,1Fam,2Story,6,5,1985,1985,Gable,BrkFace,336,977,755,0,1732,0,0,2,1,3,1,Attchd,1985,Fin,2,476,Normal,SoldFast
103,90,RL,7018,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,None,0,1535,0,0,1535,0,0,2,0,4,2,Attchd,1979,Unf,2,410,Alloca,SoldSlow
104,20,RL,10402,CollgCr,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,None,0,1226,0,0,1226,0,0,2,0,3,1,Attchd,2009,RFn,3,740,Normal,SoldFast
105,50,RM,7758,IDOTRR,Norm,Norm,1Fam,1.5Fin,7,4,1931,1950,Gable,BrkFace,600,1226,592,0,1818,0,0,1,1,4,1,Detchd,1951,Unf,1,240,Normal,SoldFast
106,60,FV,9375,Somerst,Norm,Norm,1Fam,2Story,8,5,2003,2004,Hip,BrkFace,768,1053,939,0,1992,0,0,2,1,3,1,Attchd,2003,RFn,2,648,Normal,SoldFast
107,30,RM,10800,OldTown,Norm,Norm,1Fam,1Story,4,7,1885,1995,Mansard,None,0,1047,0,0,1047,0,0,1,0,2,1,Detchd,1954,Unf,1,273,Normal,SoldSlow
108,20,RM,6000,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,None,0,789,0,0,789,0,0,1,0,2,1,Detchd,1948,Unf,1,250,Partial,SoldSlow
109,50,RM,8500,IDOTRR,Artery,Norm,1Fam,1.5Fin,5,7,1919,2005,Gable,None,0,997,520,0,1517,0,0,2,0,3,1,NA,NA,NA,0,0,Normal,SoldSlow
110,20,RL,11751,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,BrkFace,480,1844,0,0,1844,0,0,2,0,3,1,Attchd,1977,RFn,2,546,Normal,SoldFast
111,50,RL,9525,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1954,1972,Gable,None,0,1216,639,0,1855,0,0,2,0,4,1,Attchd,1954,Unf,1,325,Normal,SoldFast
112,80,RL,7750,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000,Gable,None,0,774,656,0,1430,0,0,2,1,3,1,BuiltIn,2000,Fin,2,400,Normal,SoldFast
113,60,RL,9965,CollgCr,Norm,Norm,1Fam,2Story,7,5,2007,2007,Gable,Stone,220,1282,1414,0,2696,1,0,2,1,4,1,BuiltIn,2007,Fin,3,792,Partial,SoldSlow
114,20,RL,21000,Crawfor,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,BrkFace,184,2259,0,0,2259,1,0,2,0,3,1,Basment,1953,Unf,2,450,Abnorml,SoldSlow
115,70,RL,7259,Crawfor,Norm,Norm,1Fam,2Story,6,8,1945,2002,Gambrel,None,0,1436,884,0,2320,1,0,2,1,3,1,Detchd,1945,Unf,1,180,Normal,SoldSlow
116,160,FV,3230,Somerst,Norm,Norm,TwnhsE,2Story,6,5,1999,1999,Gable,BrkFace,1129,729,729,0,1458,0,0,2,1,2,1,Detchd,1999,Unf,2,440,Normal,SoldFast
117,20,RL,11616,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Gable,BrkFace,116,1092,0,0,1092,0,1,1,0,3,1,Attchd,1962,Unf,1,288,Normal,SoldSlow
118,20,RL,8536,Edwards,Norm,Norm,1Fam,1Story,5,5,2006,2007,Gable,None,0,1125,0,0,1125,0,0,1,1,2,1,Attchd,2007,Unf,2,430,Partial,SoldSlow
119,60,RL,12376,SawyerW,Norm,Norm,1Fam,2Story,7,5,1990,1990,Hip,None,0,1699,1523,0,3222,1,0,3,0,5,1,Attchd,1990,Unf,3,594,Normal,SoldSlow
120,60,RL,8461,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2006,Gable,None,0,728,728,0,1456,0,0,2,1,3,1,Attchd,2005,Fin,2,390,Partial,SoldFast
121,80,RL,21453,ClearCr,Norm,Norm,1Fam,SLvl,6,5,1969,1969,Flat,None,0,988,0,0,988,1,0,1,0,1,1,Attchd,1969,Unf,2,540,Normal,SoldFast
122,50,RM,6060,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1939,1950,Gable,None,0,772,351,0,1123,0,0,1,0,3,1,Detchd,1979,Unf,1,264,Normal,SoldSlow
123,20,RL,9464,NAmes,Norm,Norm,1Fam,1Story,6,7,1958,1958,Hip,BrkFace,135,1080,0,0,1080,0,0,1,0,3,1,Attchd,1958,Unf,1,288,Normal,SoldFast
124,120,RL,7892,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1993,1993,Gable,None,0,1199,0,0,1199,0,0,2,0,2,1,Attchd,1993,RFn,2,530,Normal,SoldSlow
125,20,RL,17043,NWAmes,Norm,Norm,1Fam,1Story,6,5,1979,1998,Gable,None,0,1586,0,0,1586,0,0,2,0,3,1,Attchd,1979,Unf,2,435,Normal,SoldFast
126,190,RM,6780,IDOTRR,Norm,Norm,2fmCon,1.5Fin,6,8,1935,1982,Gable,None,0,520,0,234,754,1,0,1,0,2,1,NA,NA,NA,0,0,Normal,SoldSlow
127,120,RL,4928,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1976,1976,Gable,None,0,958,0,0,958,0,0,2,0,2,1,Attchd,1977,RFn,2,440,Normal,SoldSlow
128,45,RM,4388,OldTown,Feedr,Norm,1Fam,1.5Unf,5,7,1930,1950,Gable,None,0,840,0,0,840,0,0,1,0,3,1,NA,NA,NA,0,0,Normal,SoldSlow
129,60,RL,7590,NAmes,PosN,Norm,1Fam,2Story,6,5,1966,1966,Gable,BrkFace,266,660,688,0,1348,0,0,1,1,3,1,Attchd,1966,RFn,2,453,Normal,SoldFast
130,20,RL,8973,NAmes,Norm,Norm,1Fam,1Story,5,7,1958,1991,Gable,BrkFace,85,1053,0,0,1053,0,1,1,1,3,1,2Types,1998,RFn,2,750,Abnorml,SoldSlow
131,60,RL,14200,NAmes,Norm,Norm,1Fam,2Story,7,6,1966,1966,Gable,BrkFace,309,1216,941,0,2157,0,0,2,1,4,1,Attchd,1966,Fin,2,487,Normal,SoldFast
132,60,RL,12224,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,BrkFace,40,1022,1032,0,2054,1,0,2,1,3,1,BuiltIn,2000,RFn,2,390,Normal,SoldSlow
133,20,RL,7388,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,2002,Gable,None,0,1327,0,0,1327,1,0,1,0,3,1,Detchd,1974,Unf,2,624,Normal,SoldSlow
